Location,Latitude,Longitude,CheckpointNotes
"Cambridge, Idaho",44.572596,-116.6760812,"At a town called Cambridge we have supper and when we are finished, it's dark out."
"Prairie City, Oregon",44.4633303,-118.709063,At Prairie City we're out of the mountain forests again and into a dry-land town with a wide main street that looks right down through the center of the town and onto the prairie beyond it.
"Dayville, Oregon",44.4682007,-119.53581,We're pulling into Dayville and my rear end feels like it's turned to concrete.
"Prineville Junction, Oregon",44.3129743,-121.1641466,"We arrive in Prineville Junction with only a few hours of daylight left. We're at the intersection with Highway 97, where we'll turn south, and I fill up the tank at the corner and then am so tired I go around in back and sit on the yellow-painted cement curb with my feet in the gravel and the last rays of the sun flaring through the trees into my eyes."
"Bend Oregon",44.058,-121.315,"At Bend we stop and have supper in a modern restaurant in which people also come and go without looking at each other."
"La Pine, Oregon",43.6703995,-121.503636,At La Pine we stop. I tell Chris to order me ham and eggs for breakfast while I stay outside to change the oil.
"Crater Lake, Oregon",42.94152615,-122.0988203,"We arrive at the turnoff to Crater Lake and go up a neat road into the National Park...clean, tidy and preserved. It really shouldn't be any other way, but this doesn't win any prizes for Quality either. It turns it into a museum. This is how it was before the white man came...beautiful lava flows, and scrawny trees, and not a beer can anywhere...but now that the white man is here, it looks fake. Maybe the National Park Service should set just one pile of beer cans in the middle of all that lava and then it would come to life. The absence of beer cans is distracting."
"Klamath Lake, Oregon",42.3667772,-121.8656151,"We travel down the eastern shore of Klamath Lake on a three-lane highway that contains a lot of nineteen- twenties feeling. That's when these three-laners were all made. We pull in for lunch at a roadhouse which belongs to this era too. Wooden frame badly in need of paint, neon beer signs in the window, gravel and engine drippings for a front lawn."
"Medford, Oregon",42.326515,-122.875595,When we're through the folded hills we come to Medford and a freeway leading to Grants Pass and it's almost evening.
"Grants Pass, Oregon",42.4393707,-123.3272489,
"Crescent City, California",41.85280485,-124.1499052,"The grey rainy skies and sign-strewn road descend to Crescent City, California, grey and cold and wet, and Chris and I look and see the water, the ocean, in the distance beyond piers and grey buildings. I remember this was our great goal all these days."
"Arcata, California",40.866517,-124.08284,"At Arcata we enter a small diner, cold and wet, and eat chili and beans and drink coffee."
"Weott, California",40.3214878,-123.9226034,"We leave and breakfast in a town off the road called Weott, where I see he's still in a distant mood. It's a kind of looking-away mood and a not-talking mood, and I leave him alone."
"Leggett, California",39.8657071,-123.714188,Farther on at Leggett we see a tourist duck pond and we buy Cracker Jacks and throw them to the ducks and he does this in the most unhappy way I have ever seen. Then we pass into some of the twisting coastal range road and suddenly enter heavy fog. Then the temperature drops and I know we're back at the ocean again.
"Mendicino County, California",39.1501662,-123.2077861,"We're on the Mendocino County coast now, and it's all wild and beautiful and open here. The hills are mostly grass but in the lee of rocks and folds in the hills are strange flowing shrubs sculptured by the upsweep of winds from the ocean. We pass some old wooden fences, weathered grey. In the distance is an old weathered and grey farmhouse. How could anyone farm here? The fence is broken in many places. Poor."
"Ukiah, California",39.1501662,-123.2077861,"And so we ride on and on, down through Ukiah, and Hopland, and Cloverdale, down into the wine country. The freeway miles seem so easy now. The engine which has carried us halfway across a continent drones on and on in its continuing oblivion to everything but its own internal forces."
"Hopland, California",38.9729542,-123.1163918,
"Cloverdale, California",38.776218,-122.9930082,
"Asti, California",38.7629643,-122.9730546,"We pass through Asti and Santa Rosa, and Petaluma and Novato, on the freeway that grows wider and fuller now, swelling with cars and trucks and busses full of people, and soon by the road are houses and boats and the water of the Bay."
"Santa Rosa, California",38.4404925,-122.7141049,
"Petaluma, California",38.270022,-122.6061224,
"Novato, California",38.1061979,-122.5681191,
"San Franciso, California",37.779,-122.419,"We pass through Asti and Santa Rosa, and Petaluma and Novato, on the freeway that grows wider and fuller now, swelling with cars and trucks and busses full of people, and soon by the road are houses and boats and the water of the Bay."
